run_id,window_index,n_samples,rtt_samples,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,total_bytes,total_packets,active_flows,bytes_kumulatif,pkt_delta_prev,rasio_diam,tp_delta_prev,tp_kumulatif,tp_pendek_max,tp_pendek_mean,tp_pendek_std,tp_rasio_kumulatif,tp_rasio_prev,tp_slot_akhir,label
CONT_s10_bola_RedBullPlayStreets,7,97,97,0.845136,0.164277,0.471351,1.175498,55.680003,67.164137,0.0,0,180.829055,219.217088,27.209856,1059815,970,6,10790559,63,0.0,0.000292,1.009642,1.172611,0.848917,0.150169,0.837065,1.000346,0.704371,Good
CONT_s10_bola_RedBullPlayStreets,8,97,97,0.843317,0.226918,0.23946,1.510906,38.341986,66.182435,0.0,0,149.671801,208.429668,39.40336,1058323,908,4,11848882,-62,0.0,-0.001819,0.992165,1.399343,0.832497,0.273193,0.849977,0.997848,0.467787,Good
CONT_s10_bola_RedBullPlayStreets,9,98,96,0.879429,0.714869,0.0,7.438917,23.635184,25.288613,1.191766,11,134.903752,184.784563,43.775364,1114946,923,2,12963828,15,0.030612,0.036112,0.981342,7.438917,0.97709,1.262154,0.896149,1.042821,0.0,Good
CONT_s10_bola_RedBullPlayStreets,10,97,58,0.388318,0.350109,0.0,1.199304,36.565971,101.491817,0.0,0,169.888664,251.586762,75.664376,487085,395,2,13450913,-528,0.402062,-0.491111,0.929936,1.079075,0.413383,0.326971,0.417575,0.441557,0.46824,Degraded
CONT_s10_bola_RedBullPlayStreets,11,98,68,0.424447,0.347084,0.0,1.283401,40.393257,98.595619,0.0,0,173.820027,251.632552,66.687956,537941,447,2,13988854,52,0.306122,0.036129,0.889205,1.283401,0.477342,0.393406,0.477333,1.09304,1.051517,Degraded
CONT_s10_bola_RedBullPlayStreets,12,98,88,0.534784,0.258846,0.0,1.200465,68.73403,115.297336,0.0,0,221.16945,322.617503,79.758001,678978,604,4,14667832,157,0.102041,0.110337,0.862748,0.939594,0.58303,0.189205,0.619861,1.259955,0.583241,Good
CONT_s10_bola_RedBullPlayStreets,13,97,97,2.206699,16.789455,0.119615,166.704108,65.03802,120.630556,4.484692,104,275.730105,439.851089,95.349921,2776449,2319,7,17444281,1715,0.0,1.671915,0.955199,0.584361,0.454985,0.060737,2.310198,4.126337,0.350154,Good
CONT_s10_bola_RedBullPlayStreets,14,97,45,0.275089,0.313095,0.0,0.961615,48.697909,171.111232,0.0,0,223.512733,319.114303,116.277623,347587,281,4,17791868,-2038,0.536082,-1.93161,0.911208,0.841231,0.455344,0.263758,0.301895,0.124661,0.301402,Degraded
CONT_s10_bola_RedBullPlayStreets,15,97,82,0.452255,0.231934,0.0,0.930183,39.352681,50.95664,0.0,0,230.062983,318.938504,93.843518,571295,473,2,18363163,192,0.154639,0.177166,0.883316,0.580365,0.452365,0.131595,0.511997,1.644032,0.464199,Degraded
CONT_s10_bola_RedBullPlayStreets,16,97,65,0.36355,0.29543,0.0,1.191239,39.483721,93.269734,0.0,0,206.462699,319.107367,104.742094,459200,381,2,18822363,-92,0.329897,-0.088705,0.853547,1.071847,0.263232,0.325105,0.425929,0.803861,0.695639,Degraded
CONT_s10_bola_RedBullPlayStreets,17,97,47,0.270198,0.315937,0.0,1.192385,57.025807,160.357279,0.0,0,729.517613,319.024238,3557.573588,341364,284,3,19163727,-97,0.515464,-0.093352,0.821933,1.075965,0.347067,0.335307,0.328735,0.743221,0.012065,Degraded
CONT_s10_bola_RedBullPlayStreets,18,97,73,0.776111,3.59447,0.0,34.469313,44.842337,110.23989,7.932692,66,658.867592,617.249974,2857.594819,991015,832,3,20154742,548,0.195876,0.505913,0.819995,0.243077,0.204815,0.055808,0.946483,2.872379,0.119962,Good
CONT_s10_bola_RedBullPlayStreets,19,116,95,0.199662,0.149844,0.0,0.600038,51.400419,93.82874,8.831909,31,425.935975,617.007595,162.091174,301969,351,4,20456711,-481,0.198276,-0.576449,0.784057,0.580365,0.20252,0.233607,0.254652,0.25726,0.579808,Critical
CONT_s10_bola_RedBullPlayStreets,20,97,78,0.20714,0.148578,0.0,0.700557,76.312381,177.905501,13.961039,43,289.190203,606.872613,179.950262,261861,308,4,20718572,-43,0.185567,0.007478,0.757399,0.354395,0.20185,0.070604,0.273489,1.037453,0.242991,Critical
CONT_s10_bola_RedBullPlayStreets,21,97,78,0.198415,0.169693,0.0,1.021964,48.011544,92.136318,4.513889,13,267.043229,493.014428,158.203196,251481,288,2,20970053,-20,0.206186,-0.008725,0.732684,0.720461,0.195668,0.137691,0.270806,0.957879,0.0,Critical
CONT_s10_bola_RedBullPlayStreets,22,97,68,0.177727,0.166932,0.0,1.174458,37.124799,115.793592,8.171206,21,204.664681,508.696565,147.832558,225135,257,2,21195188,-31,0.309278,-0.020688,0.709153,0.4214,0.134892,0.173029,0.250619,0.895734,0.0,Critical
CONT_s10_bola_RedBullPlayStreets,23,96,26,0.121918,0.222608,0.0,1.074933,43.722052,198.307149,0.769231,1,424.297424,847.568523,256.253237,152732,130,2,21347920,-127,0.729167,-0.055809,0.685525,1.074933,0.132687,0.257748,0.177846,0.685985,0.0,Critical
CONT_s10_bola_RedBullPlayStreets,24,97,18,0.10162,0.255428,0.0,1.191239,43.19531,245.500663,0.0,0,367.796053,851.953858,318.066458,128578,105,2,21476498,-25,0.835052,-0.020298,0.662718,1.191239,0.103932,0.276229,0.153338,0.833511,0.0,Critical
