run_id,window_index,o22_degraded,stall_degraded,label_degraded
CONT_s12_BigBuckBunny,0,4.1217,0,Excellent
CONT_s12_BigBuckBunny,1,2.9383,0,Degraded
CONT_s12_BigBuckBunny,2,2.9383,0,Degraded
CONT_s12_BigBuckBunny,3,2.9284,0,Degraded
CONT_s12_BigBuckBunny,4,2.9315,0,Degraded
CONT_s12_BigBuckBunny,5,3.554,0,Good
CONT_s12_BigBuckBunny,6,1.6755,0,Critical
CONT_s12_BigBuckBunny,7,1.6755,0,Critical
CONT_s12_BigBuckBunny,8,1.6755,0,Critical
CONT_s12_BigBuckBunny,9,1.6755,0,Critical
CONT_s12_BigBuckBunny,10,2.7985,0,Degraded
CONT_s12_BigBuckBunny,11,2.7464,0,Degraded
CONT_s12_BigBuckBunny,12,4.3572,0,Excellent
CONT_s12_BigBuckBunny,13,4.3572,0,Excellent
CONT_s12_BigBuckBunny,14,4.2942,0,Excellent
CONT_s12_BigBuckBunny,15,2.7228,0,Degraded
CONT_s12_BigBuckBunny,16,1.6755,0,Critical
CONT_s12_BigBuckBunny,17,1.6755,0,Critical
CONT_s12_BigBuckBunny,18,1.6671,0,Critical
CONT_s12_BigBuckBunny,19,1.5917,0,Critical
CONT_s12_BigBuckBunny,20,1.5917,0,Critical
CONT_s12_BigBuckBunny,21,1.5917,0,Critical
CONT_s12_BigBuckBunny,22,1.5772,0,Critical
CONT_s12_BigBuckBunny,23,1.4467,0,Critical
CONT_s12_BigBuckBunny,24,1.4467,0,Critical
CONT_s12_BigBuckBunny,25,1.4612,0,Critical
CONT_s12_BigBuckBunny,26,1.5772,0,Critical
CONT_s12_BigBuckBunny,27,1.4467,0,Critical
CONT_s12_ElephantsDream,0,2.9035,0,Degraded
CONT_s12_ElephantsDream,1,4.2954,0,Excellent
CONT_s12_ElephantsDream,2,2.9366,0,Degraded
CONT_s12_ElephantsDream,3,2.9366,0,Degraded
CONT_s12_ElephantsDream,4,2.9178,0,Degraded
CONT_s12_ElephantsDream,5,2.6417,0,Degraded
CONT_s12_ElephantsDream,6,1.6772,0,Critical
CONT_s12_ElephantsDream,7,1.6772,0,Critical
CONT_s12_ElephantsDream,8,1.5945,0,Critical
CONT_s12_ElephantsDream,9,1.5945,0,Critical
CONT_s12_ElephantsDream,10,3.7895,0,Good
CONT_s12_ElephantsDream,11,2.802,0,Degraded
CONT_s12_ElephantsDream,12,2.802,0,Degraded
CONT_s12_ElephantsDream,13,4.3552,0,Excellent
CONT_s12_ElephantsDream,14,4.3552,0,Excellent
CONT_s12_ElephantsDream,15,3.57,0,Good
CONT_s12_ElephantsDream,16,1.6027,0,Critical
CONT_s12_ElephantsDream,17,1.6689,0,Critical
CONT_s12_ElephantsDream,18,1.8673,0,Critical
CONT_s12_ElephantsDream,19,4.0497,0,Excellent
CONT_s12_ElephantsDream,20,1.5945,0,Critical
CONT_s12_ElephantsDream,21,1.5945,0,Critical
CONT_s12_ElephantsDream,22,1.5945,0,Critical
CONT_s12_ElephantsDream,23,1.5799,0,Critical
CONT_s12_ElephantsDream,24,1.4492,0,Critical
CONT_s12_ElephantsDream,25,1.4492,0,Critical
CONT_s12_ElephantsDream,26,1.4638,0,Critical
CONT_s12_ElephantsDream,27,1.5799,0,Critical
CONT_s12_ElephantsDream,28,1.4492,0,Critical
CONT_s12_OfForestAndMen,0,2.7738,0,Degraded
CONT_s12_OfForestAndMen,1,2.9278,0,Degraded
CONT_s12_OfForestAndMen,2,2.9278,0,Degraded
CONT_s12_OfForestAndMen,3,2.9278,0,Degraded
CONT_s12_OfForestAndMen,4,2.9207,0,Degraded
CONT_s12_OfForestAndMen,5,2.7406,0,Degraded
CONT_s12_OfForestAndMen,6,1.6894,0,Critical
CONT_s12_OfForestAndMen,7,1.6894,0,Critical
CONT_s12_OfForestAndMen,8,1.6894,0,Critical
CONT_s12_OfForestAndMen,9,1.6894,0,Critical
CONT_s12_OfForestAndMen,10,1.6894,0,Critical
