run_id,window_index,n_samples,rtt_samples,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,total_bytes,total_packets,active_flows,label
CONT_s10_RedBullPlayStreets,8,28,,0.852027,0.031633,0.80714,0.89855,,,,,,,,1078716,1052,6,Degraded
CONT_s10_RedBullPlayStreets,9,29,,0.849614,0.029547,0.80714,0.896471,,,,,,,,1113311,1098,2,Good
CONT_s10_RedBullPlayStreets,10,28,,1.063798,2.148066,0.0,12.133975,,,,,,,,1351582,1184,2,Good
CONT_s10_RedBullPlayStreets,11,29,,0.527351,0.156379,0.0,0.799454,,,,,,,,691979,560,2,Good
CONT_s10_RedBullPlayStreets,12,29,,0.54052,0.123068,0.046736,0.677716,,,,,,,,710712,596,4,Good
CONT_s10_RedBullPlayStreets,13,28,,2.048096,7.66532,0.379961,41.876616,,,,,,,,2707624,2201,5,Good
CONT_s10_RedBullPlayStreets,14,28,,0.333454,0.218894,0.0,0.654766,,,,,,,,433324,450,6,Degraded
CONT_s10_RedBullPlayStreets,15,28,,0.407093,0.157707,0.0,0.619839,,,,,,,,532914,444,2,Degraded
CONT_s10_RedBullPlayStreets,16,28,,0.424524,0.129832,0.0,0.590823,,,,,,,,542667,453,2,Degraded
CONT_s10_RedBullPlayStreets,17,28,,0.254169,0.217628,0.0,0.581943,,,,,,,,328278,269,2,Degraded
CONT_s10_RedBullPlayStreets,18,28,,0.319631,0.200477,0.0,0.584295,,,,,,,,415786,344,2,Degraded
CONT_s10_RedBullPlayStreets,19,28,,0.279344,0.133625,0.032656,0.512366,,,,,,,,360998,374,2,Degraded
CONT_s10_RedBullPlayStreets,20,29,,0.195167,0.042441,0.066297,0.267566,,,,,,,,260662,292,4,Critical
CONT_s10_RedBullPlayStreets,21,28,,0.193187,0.084026,0.0,0.504359,,,,,,,,248957,316,4,Critical
CONT_s10_RedBullPlayStreets,22,28,,0.202377,0.017589,0.163044,0.240753,,,,,,,,260028,316,2,Critical
CONT_s10_RedBullPlayStreets,23,28,,0.125292,0.128112,0.0,0.434669,,,,,,,,160254,163,2,Critical
CONT_s10_RedBullPlayStreets,24,29,,0.119449,0.103833,0.0,0.349023,,,,,,,,157099,132,2,Critical
CONT_s10_RedBullPlayStreets,25,28,,0.141704,0.052802,0.001147,0.236895,,,,,,,,180657,159,2,Critical
CONT_s10_RedBullPlayStreets,26,28,,0.144658,0.062143,0.0,0.300309,,,,,,,,188203,160,2,Critical
CONT_s10_RedBullPlayStreets,27,28,,0.14512,0.040362,0.001141,0.192992,,,,,,,,187799,178,4,Critical
CONT_s10_RedBullPlayStreets,28,28,,0.141991,0.043057,0.062604,0.203555,,,,,,,,180925,181,5,Critical
CONT_s10_RedBullPlayStreets,29,29,,0.129877,0.515694,0.0,2.840606,,,,,,,,171695,162,2,Critical
CONT_s10_TearsOfSteel,1,26,,1.535816,2.735775,0.0,15.057967,,,,,,,,2009633,1684,4,Degraded
CONT_s10_TearsOfSteel,2,26,,1.023856,0.166687,0.382315,1.17187,,,,,,,,1336783,1189,8,Good
CONT_s10_TearsOfSteel,3,25,,1.079152,0.054031,0.946927,1.17187,,,,,,,,1370640,1274,8,Good
CONT_s10_TearsOfSteel,4,26,,1.07417,0.054847,0.937711,1.18917,,,,,,,,1408040,1262,6,Good
CONT_s10_TearsOfSteel,5,26,,0.541447,0.486827,0.0,1.200634,,,,,,,,715520,603,4,Good
CONT_s10_TearsOfSteel,6,26,,0.844891,0.065988,0.700806,0.978975,,,,,,,,1101228,989,9,Good
CONT_s10_TearsOfSteel,7,26,,0.849844,0.052221,0.724557,1.019733,,,,,,,,1114144,1104,8,Good
CONT_s10_TearsOfSteel,8,25,,0.745914,0.245459,0.0,0.941699,,,,,,,,938682,911,5,Degraded
CONT_s10_TearsOfSteel,9,26,,0.416764,0.351476,0.0,0.973662,,,,,,,,544035,442,2,Degraded
CONT_s10_TearsOfSteel,10,26,,0.515963,0.17456,0.0,0.740639,,,,,,,,672026,583,6,Degraded
CONT_s10_TearsOfSteel,11,26,,0.579357,0.034815,0.507535,0.640241,,,,,,,,760193,729,6,Degraded
CONT_s10_TearsOfSteel,12,26,,1.959477,6.899601,0.495641,36.45692,,,,,,,,2555339,2111,8,Degraded
CONT_s10_TearsOfSteel,13,25,,0.460851,0.043291,0.391802,0.535157,,,,,,,,585680,647,7,Degraded
CONT_s10_TearsOfSteel,14,26,,0.457249,0.031797,0.409703,0.509979,,,,,,,,604857,603,4,Degraded
CONT_s10_TearsOfSteel,15,26,,0.459315,0.023775,0.42085,0.492202,,,,,,,,605110,599,4,Degraded
CONT_s10_TearsOfSteel,16,25,,0.457085,0.028245,0.406279,0.501453,,,,,,,,584914,582,4,Degraded
CONT_s10_TearsOfSteel,17,26,,0.457945,0.027194,0.421901,0.531087,,,,,,,,603036,602,4,Degraded
CONT_s10_TearsOfSteel,18,26,,0.470831,0.845254,0.143538,4.654004,,,,,,,,613324,614,4,Degraded
CONT_s10_TearsOfSteel,19,26,,0.201937,0.025513,0.153208,0.252685,,,,,,,,262049,317,4,Degraded
CONT_s10_TearsOfSteel,20,25,,0.201466,0.022473,0.140035,0.269319,,,,,,,,255145,323,6,Critical
CONT_s10_TearsOfSteel,21,26,,0.201,0.043104,0.093611,0.30406,,,,,,,,263426,297,4,Critical
CONT_s10_TearsOfSteel,22,26,,0.248036,0.437727,0.03348,2.418404,,,,,,,,324107,333,4,Critical
CONT_s10_TearsOfSteel,23,26,,0.141887,0.054673,0.03348,0.242556,,,,,,,,186849,165,4,Critical
CONT_s10_TheSwissAccount,1,24,,0.515225,0.519602,0.0,1.176688,,,,,,,,670022,597,4,Good
CONT_s10_TheSwissAccount,2,24,,0.620997,0.529649,0.0,1.268498,,,,,,,,824931,688,3,Good
CONT_s10_TheSwissAccount,3,23,,1.084033,0.058402,0.961717,1.192754,,,,,,,,1389690,1308,5,Good
CONT_s10_TheSwissAccount,4,24,,1.085166,0.031352,1.024477,1.192184,,,,,,,,1436687,1416,6,Degraded
CONT_s10_TheSwissAccount,5,23,,0.881456,0.378299,0.0,1.159223,,,,,,,,1134405,1083,4,Good
CONT_s10_TheSwissAccount,6,24,,0.220062,0.384912,0.0,1.107945,,,,,,,,296896,236,2,Degraded
CONT_s10_TheSwissAccount,7,23,,0.672461,0.335873,0.0,0.992487,,,,,,,,863838,780,4,Degraded
CONT_s10_TheSwissAccount,8,24,,0.851906,0.03698,0.7879,0.955276,,,,,,,,1131079,1120,4,Good
CONT_s10_TheSwissAccount,9,23,,0.644173,0.347451,0.0,0.946112,,,,,,,,821076,780,2,Good
CONT_s10_TheSwissAccount,10,24,,0.24491,0.330838,0.0,0.868973,,,,,,,,331566,269,2,Degraded
CONT_s10_TheSwissAccount,11,23,,0.401446,0.274708,0.0,0.727669,,,,,,,,522027,431,2,Degraded
CONT_s10_TheSwissAccount,12,23,,0.57426,0.056627,0.475107,0.693639,,,,,,,,740452,637,4,Good
CONT_s10_TheSwissAccount,13,24,,2.154506,7.698996,0.42609,39.076468,,,,,,,,2871781,2373,6,Degraded
CONT_s10_TheSwissAccount,14,23,,0.397912,0.145151,0.0,0.537857,,,,,,,,507374,491,4,Degraded
CONT_s10_TheSwissAccount,15,23,,0.311735,0.19871,0.0,0.5677,,,,,,,,401399,322,2,Degraded
CONT_s10_TheSwissAccount,16,24,,0.397523,0.143204,0.0,0.53575,,,,,,,,531154,438,2,Good
CONT_s10_TheSwissAccount,17,23,,0.451672,0.053162,0.334211,0.550543,,,,,,,,577667,473,2,Good
CONT_s10_TheSwissAccount,18,23,,0.367064,0.183946,0.0,0.550562,,,,,,,,479250,389,2,Degraded
CONT_s10_TheSwissAccount,19,24,,0.23708,0.134555,0.0,0.542862,,,,,,,,315607,341,2,Degraded
CONT_s10_TheSwissAccount,20,23,,0.19984,0.016823,0.162865,0.243542,,,,,,,,259435,313,2,Degraded
CONT_s10_TheSwissAccount,21,24,,0.203294,0.018317,0.159278,0.23694,,,,,,,,272731,345,4,Degraded
CONT_s10_TheSwissAccount,22,23,,0.202124,0.041243,0.085205,0.328135,,,,,,,,259049,312,2,Critical
CONT_s10_TheSwissAccount,23,23,,0.157079,0.062162,0.007935,0.306189,,,,,,,,199867,201,2,Critical
