run_id,window_index,n_samples,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,total_bytes,total_packets,active_flows,label
S1_TearsOfSteel_rep1,9,11,11.016068,14.899816,0.0,40.265561,0.088132,0.809915,0.0,0,15199107,10134,1,Excellent
S1_TearsOfSteel_rep1,10,11,9.321432,15.021734,0.0,38.487192,0.122213,0.633131,0.0,0,12863820,8577,1,Excellent
S1_TearsOfSteel_rep1,11,11,14.402786,23.260518,0.0,55.326208,0.149823,0.881618,0.0,0,19868576,13248,1,Excellent
S1_TearsOfSteel_rep1,12,11,13.040619,21.719533,0.0,60.228892,0.151474,0.839582,0.0,0,17988259,11996,1,Excellent
S1_TearsOfSteel_rep1,13,11,10.226495,16.642421,0.0,41.724155,0.063448,0.431876,0.0,0,14108637,9408,1,Excellent
S1_TearsOfSteel_rep1,14,11,13.668462,22.382359,0.0,60.354199,0.180487,0.949356,0.0,0,18855021,12573,1,Excellent
S1_TearsOfSteel_rep1,15,11,16.339282,27.948542,0.0,84.494727,0.165188,1.030594,0.0,0,22540677,15029,1,Excellent
S1_TearsOfSteel_rep1,16,11,10.151642,17.097309,0.0,47.839952,0.09892,0.819653,0.0,0,14005966,9339,1,Excellent
S1_TearsOfSteel_rep1,17,11,11.528389,18.949138,0.0,48.060205,0.085195,0.577882,0.0,0,15906031,10607,1,Excellent
S1_TearsOfSteel_rep1,18,10,11.289189,17.084033,0.0,38.675487,0.157084,0.854391,0.0,0,14159456,9442,1,Excellent
S1_TearsOfSteel_rep1,19,11,7.754873,16.300906,0.0,44.73518,0.100877,0.615101,0.0,0,10700687,7136,1,Excellent
S1_TearsOfSteel_rep1,20,11,11.45504,18.592674,0.0,45.266806,0.172081,0.884371,0.0,0,15804808,10539,1,Excellent
S1_TearsOfSteel_rep1,21,11,5.12326,10.868079,0.0,28.198886,0.110729,1.023776,0.0,0,7074778,4718,1,Excellent
S1_TearsOfSteel_rep1,22,11,9.715574,16.022527,0.0,39.393767,0.158196,0.782667,0.0,0,13401541,8938,1,Excellent
S1_TearsOfSteel_rep1,23,11,6.764288,14.346996,0.0,37.268037,18.209285,61.040165,0.0,0,9330657,6225,1,Excellent
S1_TearsOfSteel_rep1,24,11,0.00029,0.000917,0.0,0.00319,4.886555,53.752108,0.0,0,400,1,1,Excellent
S1_TearsOfSteel_rep1,25,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Excellent
S1_TearsOfSteel_rep1,26,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Excellent
S1_TearsOfSteel_rep1,27,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Excellent
S1_TearsOfSteel_rep1,28,11,3.8e-05,0.000119,0.0,0.000415,254.638174,2801.019911,0.0,0,52,1,1,Excellent
S1_TearsOfSteel_rep1,29,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Excellent
S1_TheSwissAccount_rep1,1,11,2.361715,5.114301,0.0,17.066053,0.02535,0.235552,0.0,0,3259662,2175,1,Excellent
S1_TheSwissAccount_rep1,2,11,2.513759,4.15846,0.0,10.452746,0.006907,0.03131,0.0,0,3469805,2315,1,Excellent
S1_TheSwissAccount_rep1,3,11,3.573609,6.144306,0.0,16.834441,0.007113,0.029314,0.0,0,4932376,3291,1,Excellent
S1_TheSwissAccount_rep1,4,11,4.397723,7.210257,0.0,17.063136,0.006703,0.029314,0.0,0,6069635,4048,1,Excellent
S1_TheSwissAccount_rep1,5,11,3.66172,6.954484,0.0,20.573985,0.007159,0.02863,0.0,0,5054555,3372,1,Excellent
S1_TheSwissAccount_rep1,6,11,4.610741,7.577069,0.0,19.170393,0.007272,0.030606,0.0,0,6363649,4244,1,Excellent
S1_TheSwissAccount_rep1,7,10,3.484564,6.973751,0.0,17.990588,0.005086,0.02677,0.0,0,4372467,2916,1,Excellent
S1_TheSwissAccount_rep1,8,11,3.345815,5.854857,0.0,15.886739,0.008315,0.037105,0.0,0,4618778,3080,1,Excellent
S1_TheSwissAccount_rep1,9,11,2.45348,5.210392,0.0,14.069355,0.004786,0.027981,0.0,0,3386544,2259,1,Excellent
S1_TheSwissAccount_rep1,10,11,3.819623,6.246497,0.0,14.913001,0.00634,0.025668,0.0,0,5271056,3516,1,Excellent
S1_TheSwissAccount_rep1,11,11,2.638209,5.604084,0.0,15.194237,0.005186,0.033885,0.0,0,3640597,2428,1,Excellent
S1_TheSwissAccount_rep1,12,11,3.476669,5.726462,0.0,14.035298,0.008264,0.032915,0.0,0,4798586,3201,1,Excellent
S1_TheSwissAccount_rep1,13,11,2.950003,6.304711,0.0,18.023439,0.0052,0.035171,0.0,0,4071848,2715,1,Excellent
S1_TheSwissAccount_rep1,14,11,4.098828,6.724944,0.0,16.725986,0.007175,0.031393,0.0,0,5657289,3773,1,Excellent
S1_TheSwissAccount_rep1,15,11,3.394732,7.262146,0.0,20.870835,0.005589,0.031915,0.0,0,4685082,3124,1,Excellent
