run_id,window_index,n_samples,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,label
S1_TearsOfSteel_rep1,18,11,11.313483,18.276005,0.0,46.378099,15906031,10607,1,Excellent
S1_TearsOfSteel_rep1,19,10,7.357851,14.530707,0.0,37.380678,9407412,6273,1,Excellent
S1_TearsOfSteel_rep1,20,11,7.524935,13.000366,0.0,39.050195,10602013,7070,1,Excellent
S1_TearsOfSteel_rep1,21,11,10.07479,16.607673,0.0,44.30434,14174613,9451,1,Excellent
S1_TearsOfSteel_rep1,22,11,8.575314,11.96048,0.0,27.700107,12070973,8050,1,Excellent
S1_TearsOfSteel_rep1,23,11,6.161912,13.229741,0.0,38.676606,8655393,5773,1,Excellent
S1_TearsOfSteel_rep1,24,10,7.353576,12.406381,0.0,36.432675,9419094,6281,1,Excellent
S1_TearsOfSteel_rep1,25,11,3.300945,10.435534,0.0,36.301002,4657711,3109,1,Excellent
S1_TearsOfSteel_rep1,26,11,0.0,0.0,0.0,0.0,0,0,0,Excellent
S1_TearsOfSteel_rep1,27,11,0.0,0.0,0.0,0.0,0,0,0,Excellent
S1_TearsOfSteel_rep1,28,10,0.0,0.0,0.0,0.0,0,0,0,Excellent
S1_TheSwissAccount_rep1,1,11,1.682558,4.880662,0.0,17.060954,2323002,1550,1,Excellent
S1_TheSwissAccount_rep1,2,11,2.513184,4.157524,0.0,10.449624,3469805,2315,1,Excellent
S1_TheSwissAccount_rep1,3,11,2.26575,5.154863,0.0,16.831087,3127657,2087,1,Excellent
S1_TheSwissAccount_rep1,4,11,4.395996,6.6636,0.0,17.054641,6069635,4048,1,Excellent
S1_TheSwissAccount_rep1,5,11,3.66058,6.952605,0.0,20.571936,5054555,3372,1,Excellent
S1_TheSwissAccount_rep1,6,11,4.60816,7.572875,0.0,19.160848,6363649,4244,1,Excellent
S1_TheSwissAccount_rep1,7,11,3.768787,6.70788,0.0,17.983422,5203599,3473,2,Excellent
S1_TheSwissAccount_rep1,8,11,3.345193,5.851381,0.0,15.877248,4618910,3083,2,Excellent
S1_TheSwissAccount_rep1,9,11,2.45265,5.208699,0.0,14.067953,3386544,2259,1,Excellent
S1_TheSwissAccount_rep1,10,11,3.817855,6.243621,0.0,14.90706,5271056,3516,1,Excellent
S1_TheSwissAccount_rep1,11,11,3.61211,5.977085,0.0,15.165526,4989362,3328,1,Excellent
S1_TheSwissAccount_rep1,12,11,3.475606,5.724662,0.0,14.031104,4798586,3201,1,Excellent
S1_TheSwissAccount_rep1,13,11,4.275712,6.949049,0.0,18.01626,5903446,3937,1,Excellent
S1_TheSwissAccount_rep1,14,11,4.097885,6.607298,0.0,16.196832,5657289,3773,1,Excellent
S1_TheSwissAccount_rep1,15,11,4.932472,8.120397,0.0,20.864599,6809961,4541,1,Excellent
S1_TheSwissAccount_rep1,16,11,3.756934,5.880465,0.0,16.927935,5187561,3460,1,Excellent
S1_TheSwissAccount_rep1,17,11,3.648396,6.021853,0.0,15.198686,5037926,3360,1,Excellent
